,STATE,month,counts
0,AK,4,19
1,AK,5,92
2,AK,6,154
3,AK,7,53
4,AK,8,26
5,AK,9,41
6,AK,10,7
7,AK,11,10
8,AK,12,7
9,AL,1,169
10,AL,2,131
11,AL,3,335
12,AL,4,157
13,AL,5,109
14,AL,6,165
15,AL,7,180
16,AL,8,36
17,AL,9,41
18,AL,10,100
19,AL,11,213
20,AL,12,111
21,AR,1,95
22,AR,2,152
23,AR,3,336
24,AR,4,53
25,AR,5,158
26,AR,6,334
27,AR,7,507
28,AR,8,465
29,AR,9,75
30,AR,10,37
31,AR,11,75
32,AR,12,64
33,AZ,1,46
34,AZ,2,54
35,AZ,3,96
36,AZ,4,137
37,AZ,5,227
38,AZ,6,317
39,AZ,7,429
40,AZ,8,251
41,AZ,9,77
42,AZ,10,55
43,AZ,11,50
44,AZ,12,21
45,CA,1,407
46,CA,2,286
47,CA,3,287
48,CA,4,277
49,CA,5,771
50,CA,6,1063
51,CA,7,1280
52,CA,8,1305
53,CA,9,781
54,CA,10,482
55,CA,11,212
56,CA,12,57
57,CO,1,4
58,CO,2,2
59,CO,3,28
60,CO,4,65
61,CO,5,74
62,CO,6,202
63,CO,7,383
64,CO,8,188
65,CO,9,80
66,CO,10,67
67,CO,11,12
68,CO,12,1
69,CT,1,28
70,CT,2,49
71,CT,3,95
72,CT,4,226
73,CT,5,50
74,CT,6,60
75,CT,7,18
76,CT,8,23
77,CT,9,11
78,CT,10,11
79,CT,11,4
80,CT,12,1
81,DC,2,1
82,DC,4,4
83,DE,4,9
84,DE,6,3
85,DE,7,6
86,DE,10,1
87,FL,1,469
88,FL,2,305
89,FL,3,398
90,FL,4,463
91,FL,5,511
92,FL,6,142
93,FL,7,268
94,FL,8,117
95,FL,9,52
96,FL,10,87
97,FL,11,171
98,FL,12,124
99,GA,1,525
100,GA,2,532
101,GA,3,664
102,GA,4,565
103,GA,5,484
104,GA,6,318
105,GA,7,456
106,GA,8,85
107,GA,9,100
108,GA,10,400
109,GA,11,604
110,GA,12,216
111,HI,1,76
112,HI,2,50
113,HI,3,34
114,HI,4,41
115,HI,5,71
116,HI,6,109
117,HI,7,67
118,HI,8,68
119,HI,9,57
120,HI,10,49
121,HI,11,50
122,HI,12,42
123,IA,1,44
124,IA,2,16
125,IA,3,98
126,IA,4,12
127,IA,5,17
128,IA,6,36
129,IA,7,53
130,IA,8,38
131,IA,9,57
132,IA,10,50
133,IA,11,30
134,IA,12,7
135,ID,2,4
136,ID,3,3
137,ID,4,15
138,ID,5,37
139,ID,6,106
140,ID,7,400
141,ID,8,382
142,ID,9,169
143,ID,10,63
144,ID,11,8
145,ID,12,2
146,IL,1,5
147,IL,2,7
148,IL,3,28
149,IL,4,6
150,IL,5,5
151,IL,6,25
152,IL,7,45
153,IL,8,29
154,IL,9,6
155,IL,10,5
156,IL,11,5
157,IL,12,1
158,IN,2,1
159,IN,3,11
160,IN,4,4
161,IN,5,2
162,IN,6,12
163,IN,7,14
164,IN,8,5
165,IN,10,4
166,IN,11,4
167,KS,1,4
168,KS,2,7
169,KS,3,15
170,KS,4,7
171,KS,6,10
172,KS,7,12
173,KS,8,13
174,KS,9,3
175,KS,10,1
176,KS,12,1
177,KY,1,57
178,KY,2,63
179,KY,3,276
180,KY,4,149
181,KY,5,8
182,KY,6,101
183,KY,7,52
184,KY,8,29
185,KY,9,5
186,KY,10,128
187,KY,11,320
188,KY,12,75
189,LA,1,104
190,LA,2,57
191,LA,3,79
192,LA,4,38
193,LA,5,85
194,LA,6,105
195,LA,7,84
196,LA,8,99
197,LA,9,37
198,LA,10,55
199,LA,11,90
200,LA,12,44
201,MA,3,1
202,MA,4,1
203,MA,7,2
204,MA,8,1
205,MD,1,5
206,MD,2,13
207,MD,3,29
208,MD,4,40
209,MD,5,3
210,MD,6,13
211,MD,7,28
212,MD,8,8
213,MD,9,4
214,MD,10,3
215,MD,11,14
216,MD,12,3
217,ME,1,2
218,ME,2,9
219,ME,3,80
220,ME,4,234
221,ME,5,58
222,ME,6,14
223,ME,7,93
224,ME,8,41
225,ME,9,11
226,ME,10,6
227,ME,11,9
228,ME,12,3
229,MI,1,1
230,MI,2,1
231,MI,3,83
232,MI,4,212
233,MI,5,146
234,MI,6,51
235,MI,7,89
236,MI,8,53
237,MI,9,34
238,MI,10,29
239,MI,11,11
240,MI,12,1
241,MN,1,10
242,MN,2,28
243,MN,3,465
244,MN,4,775
245,MN,5,207
246,MN,6,43
247,MN,7,68
248,MN,8,66
249,MN,9,314
250,MN,10,252
251,MN,11,55
252,MN,12,12
253,MO,1,13
254,MO,2,8
255,MO,3,59
256,MO,4,11
257,MO,5,17
258,MO,6,17
259,MO,7,55
260,MO,8,29
261,MO,9,1
262,MO,10,2
263,MO,11,7
264,MO,12,2
265,MS,1,153
266,MS,2,132
267,MS,3,204
268,MS,4,63
269,MS,5,82
270,MS,6,205
271,MS,7,107
272,MS,8,26
273,MS,9,42
274,MS,10,51
275,MS,11,111
276,MS,12,42
277,MT,1,16
278,MT,2,11
279,MT,3,80
280,MT,4,90
281,MT,5,79
282,MT,6,139
283,MT,7,641
284,MT,8,504
285,MT,9,218
286,MT,10,56
287,MT,11,20
288,NC,1,388
289,NC,2,382
290,NC,3,506
291,NC,4,448
292,NC,5,157
293,NC,6,238
294,NC,7,236
295,NC,8,55
296,NC,9,78
297,NC,10,143
298,NC,11,674
299,NC,12,254
300,ND,1,19
301,ND,2,16
302,ND,3,240
303,ND,4,223
304,ND,5,66
305,ND,6,65
306,ND,7,141
307,ND,8,97
308,ND,9,157
309,ND,10,62
310,ND,11,9
311,ND,12,3
312,NE,1,82
313,NE,2,36
314,NE,3,187
315,NE,4,75
316,NE,5,91
317,NE,6,134
318,NE,7,238
319,NE,8,188
320,NE,9,103
321,NE,10,48
322,NE,11,30
323,NE,12,11
324,NH,2,6
325,NH,3,10
326,NH,4,64
327,NH,5,2
328,NH,6,2
329,NH,7,12
330,NH,8,1
331,NH,9,3
332,NJ,1,54
333,NJ,2,107
334,NJ,3,210
335,NJ,4,352
336,NJ,5,44
337,NJ,6,36
338,NJ,7,92
339,NJ,8,16
340,NJ,9,30
341,NJ,10,15
342,NJ,11,60
343,NJ,12,13
344,NM,1,20
345,NM,2,26
346,NM,3,120
347,NM,4,105
348,NM,5,115
349,NM,6,250
350,NM,7,279
351,NM,8,149
352,NM,9,41
353,NM,10,44
354,NM,11,13
355,NM,12,12
356,NV,1,13
357,NV,2,9
358,NV,3,13
359,NV,4,54
360,NV,5,54
361,NV,6,98
362,NV,7,192
363,NV,8,312
364,NV,9,53
365,NV,10,24
366,NV,11,11
367,NV,12,5
368,NY,1,91
369,NY,2,179
370,NY,3,695
371,NY,4,754
372,NY,5,280
373,NY,6,300
374,NY,7,717
375,NY,8,287
376,NY,9,182
377,NY,10,142
378,NY,11,267
379,NY,12,50
380,OH,1,5
381,OH,2,29
382,OH,3,31
383,OH,4,34
384,OH,5,7
385,OH,6,8
386,OH,7,15
387,OH,8,8
388,OH,9,2
389,OH,10,27
390,OH,11,36
391,OH,12,2
392,OK,1,135
393,OK,2,107
394,OK,3,217
395,OK,4,30
396,OK,5,54
397,OK,6,130
398,OK,7,381
399,OK,8,238
400,OK,9,54
401,OK,10,36
402,OK,11,131
403,OK,12,142
404,OR,1,6
405,OR,2,11
406,OR,3,18
407,OR,4,26
408,OR,5,81
409,OR,6,119
410,OR,7,418
411,OR,8,471
412,OR,9,320
413,OR,10,161
414,OR,11,24
415,OR,12,2
416,PA,1,12
417,PA,2,32
418,PA,3,210
419,PA,4,317
420,PA,5,21
421,PA,6,18
422,PA,7,31
423,PA,8,4
424,PA,9,5
425,PA,10,16
426,PA,11,57
427,PA,12,1
428,RI,1,1
429,RI,2,3
430,RI,3,8
431,RI,4,22
432,RI,5,2
433,RI,7,5
434,RI,8,1
435,RI,9,2
436,RI,11,4
437,RI,12,1
438,SC,1,294
439,SC,2,351
440,SC,3,281
441,SC,4,194
442,SC,5,135
443,SC,6,71
444,SC,7,164
445,SC,8,16
446,SC,9,32
447,SC,10,86
448,SC,11,231
449,SC,12,116
450,SD,1,97
451,SD,2,87
452,SD,3,331
453,SD,4,169
454,SD,5,117
455,SD,6,289
456,SD,7,737
457,SD,8,381
458,SD,9,285
459,SD,10,134
460,SD,11,60
461,SD,12,39
462,TN,1,65
463,TN,2,95
464,TN,3,151
465,TN,4,99
466,TN,5,44
467,TN,6,166
468,TN,7,153
469,TN,8,49
470,TN,9,20
471,TN,10,66
472,TN,11,233
473,TN,12,62
474,TX,1,690
475,TX,2,306
476,TX,3,474
477,TX,4,371
478,TX,5,734
479,TX,6,910
480,TX,7,1227
481,TX,8,1059
482,TX,9,673
483,TX,10,327
484,TX,11,442
485,TX,12,410
486,UT,1,10
487,UT,2,13
488,UT,3,52
489,UT,4,60
490,UT,5,125
491,UT,6,225
492,UT,7,475
493,UT,8,416
494,UT,9,156
495,UT,10,49
496,UT,11,10
497,UT,12,1
498,VA,1,44
499,VA,2,64
500,VA,3,123
501,VA,4,164
502,VA,5,11
503,VA,6,62
504,VA,7,86
505,VA,8,11
506,VA,9,6
507,VA,10,17
508,VA,11,76
509,VA,12,21
510,VT,1,2
511,VT,2,5
512,VT,3,29
513,VT,4,36
514,VT,5,6
515,VT,6,1
516,VT,7,1
517,VT,8,2
518,VT,9,5
519,VT,10,2
520,VT,11,7
521,VT,12,1
522,WA,1,1
523,WA,2,9
524,WA,3,19
525,WA,4,78
526,WA,5,89
527,WA,6,87
528,WA,7,341
529,WA,8,312
530,WA,9,388
531,WA,10,101
532,WA,11,3
533,WI,1,12
534,WI,2,12
535,WI,3,235
536,WI,4,261
537,WI,5,170
538,WI,6,142
539,WI,7,198
540,WI,8,90
541,WI,9,86
542,WI,10,117
543,WI,11,54
544,WI,12,3
545,WV,1,40
546,WV,2,43
547,WV,3,129
548,WV,4,174
549,WV,5,7
550,WV,6,13
551,WV,7,21
552,WV,8,13
553,WV,9,7
554,WV,10,53
555,WV,11,166
556,WV,12,28
557,WY,1,8
558,WY,2,7
559,WY,3,55
560,WY,4,55
561,WY,5,58
562,WY,6,175
563,WY,7,371
564,WY,8,155
565,WY,9,110
566,WY,10,33
567,WY,11,15
568,WY,12,4